plot_id,study,age_cat,ymin,lower,middle,upper,ymax,title
plot_5,Peru,>59,7845.178071189185,13400.007932994411,17312.255977466568,20185.898477358343,27238.49031624078,DENV1 VLP
plot_5,Senegal,<5,24.921376366484424,76.43386393731303,193.61043360314562,484.9623743935882,5145.572391552479,DENV1 VLP
plot_5,Senegal,5-9,27.383361459989334,158.86392537949547,266.529845970919,1263.3823163457762,18719.36692335309,DENV1 VLP
plot_5,Senegal,10-17,63.37523193273506,238.15550522323304,1064.490463207618,2915.0010960030095,21434.335465917946,DENV1 VLP
plot_5,Senegal,18-39,154.65906712515553,1968.4098474774012,5920.472864761249,10779.077826151508,21374.415860059584,DENV1 VLP
plot_5,Senegal,40-59,2509.9831680842485,6964.204765325471,10971.716884578864,14115.308376026147,20874.25402877235,DENV1 VLP
plot_5,Senegal,>59,5012.456116889195,7928.664814494031,10767.63697605681,13064.698293719379,19710.354852555218,DENV1 VLP
plot_5,French Guiana,18-39,4471.037741454948,10453.12251222144,15359.826327574376,18554.830427308,27858.566871066872,DENV1 VLP
plot_5,French Guiana,40-59,4556.034043727283,10304.106709940083,15207.616200803745,17852.437798559007,25353.408827385316,DENV1 VLP
plot_5,French Guiana,>59,10832.933723019009,13856.805737211247,15643.07671254546,17690.14802055713,21887.105060584865,DENV1 VLP
plot_5,New Caledonia,18-39,360.0880654248289,3603.1983294358083,13547.405421900014,18256.678550241835,25386.17961935924,DENV1 VLP
plot_5,New Caledonia,40-59,1680.5114845667788,6268.902705209791,14900.19366203834,19708.028846226644,26637.889036604043,DENV1 VLP
plot_5,New Caledonia,>59,6706.185762835406,12366.001650089607,16896.347242195592,21000.277779294745,24133.193790846366,DENV1 VLP
plot_6,Peru,<5,25.948321358723785,45.535513722277464,62.63552533585744,97.93063067600723,259.10369167272154,DENV1 NS1
plot_6,Peru,5-9,29.343468029594746,46.580421483553515,61.58367182561419,123.74608893431119,478.6475492240385,DENV1 NS1
plot_6,Peru,10-17,26.409022731812904,54.37394989482297,106.7145826556774,282.48894180218866,2675.926200114415,DENV1 NS1
plot_6,Peru,18-39,29.960948372959432,142.0070022298209,1593.3900035970678,7302.205570088274,19572.442581251795,DENV1 NS1
