antigen,site,bin_id,xmin,xmax,count
ZIKV VLP,Peru,26,9.366625421072097,9.623766137297839,0
ZIKV VLP,Peru,27,9.623766137297839,9.880906853523578,0
ZIKV VLP,Peru,28,9.880906853523578,10.138047569749318,0
ZIKV VLP,Peru,29,10.138047569749318,10.39518828597506,0
ZIKV VLP,Peru,30,10.39518828597506,10.6523290022008,0
ZIKV VLP,Senegal,1,2.938107515428592,3.195248231654332,0
ZIKV VLP,Senegal,2,3.195248231654332,3.4523889478800722,7
ZIKV VLP,Senegal,3,3.4523889478800722,3.709529664105813,20
ZIKV VLP,Senegal,4,3.709529664105813,3.9666703803315526,28
ZIKV VLP,Senegal,5,3.9666703803315526,4.223811096557293,20
ZIKV VLP,Senegal,6,4.223811096557293,4.480951812783033,5
ZIKV VLP,Senegal,7,4.480951812783033,4.738092529008774,5
ZIKV VLP,Senegal,8,4.738092529008774,4.995233245234514,2
ZIKV VLP,Senegal,9,4.995233245234514,5.252373961460254,3
ZIKV VLP,Senegal,10,5.252373961460254,5.509514677685994,16
ZIKV VLP,Senegal,11,5.509514677685994,5.766655393911734,59
ZIKV VLP,Senegal,12,5.766655393911734,6.023796110137475,120
ZIKV VLP,Senegal,13,6.023796110137475,6.280936826363215,187
ZIKV VLP,Senegal,14,6.280936826363215,6.5380775425889555,209
ZIKV VLP,Senegal,15,6.5380775425889555,6.795218258814696,185
ZIKV VLP,Senegal,16,6.795218258814696,7.052358975040436,92
ZIKV VLP,Senegal,17,7.052358975040436,7.3094996912661765,130
ZIKV VLP,Senegal,18,7.3094996912661765,7.566640407491916,97
ZIKV VLP,Senegal,19,7.566640407491916,7.823781123717657,29
ZIKV VLP,Senegal,20,7.823781123717657,8.080921839943397,5
ZIKV VLP,Senegal,21,8.080921839943397,8.338062556169138,0
ZIKV VLP,Senegal,22,8.338062556169138,8.595203272394876,0
ZIKV VLP,Senegal,23,8.595203272394876,8.852343988620618,0
ZIKV VLP,Senegal,24,8.852343988620618,9.10948470484636,0
ZIKV VLP,Senegal,25,9.10948470484636,9.366625421072097,0
ZIKV VLP,Senegal,26,9.366625421072097,9.623766137297839,0
ZIKV VLP,Senegal,27,9.623766137297839,9.880906853523578,0
ZIKV VLP,Senegal,28,9.880906853523578,10.138047569749318,0
ZIKV VLP,Senegal,29,10.138047569749318,10.39518828597506,0
ZIKV VLP,Senegal,30,10.39518828597506,10.6523290022008,0
ZIKVAS EDIII,French Guiana,1,2.938107515428592,3.195248231654332,0
ZIKVAS EDIII,French Guiana,2,3.195248231654332,3.4523889478800722,1
ZIKVAS EDIII,French Guiana,3,3.4523889478800722,3.709529664105813,1
ZIKVAS EDIII,French Guiana,4,3.709529664105813,3.9666703803315526,3
ZIKVAS EDIII,French Guiana,5,3.9666703803315526,4.223811096557293,18
ZIKVAS EDIII,French Guiana,6,4.223811096557293,4.480951812783033,62
ZIKVAS EDIII,French Guiana,7,4.480951812783033,4.738092529008774,73
ZIKVAS EDIII,French Guiana,8,4.738092529008774,4.995233245234514,95
ZIKVAS EDIII,French Guiana,9,4.995233245234514,5.252373961460254,101
ZIKVAS EDIII,French Guiana,10,5.252373961460254,5.509514677685994,67
ZIKVAS EDIII,French Guiana,11,5.509514677685994,5.766655393911734,70
ZIKVAS EDIII,French Guiana,12,5.766655393911734,6.023796110137475,53
ZIKVAS EDIII,French Guiana,13,6.023796110137475,6.280936826363215,63
ZIKVAS EDIII,French Guiana,14,6.280936826363215,6.5380775425889555,36
ZIKVAS EDIII,French Guiana,15,6.5380775425889555,6.795218258814696,31
ZIKVAS EDIII,French Guiana,16,6.795218258814696,7.052358975040436,34
ZIKVAS EDIII,French Guiana,17,7.052358975040436,7.3094996912661765,27
ZIKVAS EDIII,French Guiana,18,7.3094996912661765,7.566640407491916,27
ZIKVAS EDIII,French Guiana,19,7.566640407491916,7.823781123717657,10
ZIKVAS EDIII,French Guiana,20,7.823781123717657,8.080921839943397,8
ZIKVAS EDIII,French Guiana,21,8.080921839943397,8.338062556169138,3
ZIKVAS EDIII,French Guiana,22,8.338062556169138,8.595203272394876,1
ZIKVAS EDIII,French Guiana,23,8.595203272394876,8.852343988620618,3
ZIKVAS EDIII,French Guiana,24,8.852343988620618,9.10948470484636,0
ZIKVAS EDIII,French Guiana,25,9.10948470484636,9.366625421072097,0
ZIKVAS EDIII,French Guiana,26,9.366625421072097,9.623766137297839,0
ZIKVAS EDIII,French Guiana,27,9.623766137297839,9.880906853523578,0
ZIKVAS EDIII,French Guiana,28,9.880906853523578,10.138047569749318,0
ZIKVAS EDIII,French Guiana,29,10.138047569749318,10.39518828597506,0
ZIKVAS EDIII,French Guiana,30,10.39518828597506,10.6523290022008,0
ZIKVAS EDIII,New Caledonia,1,2.938107515428592,3.195248231654332,0
ZIKVAS EDIII,New Caledonia,2,3.195248231654332,3.4523889478800722,0
ZIKVAS EDIII,New Caledonia,3,3.4523889478800722,3.709529664105813,0
ZIKVAS EDIII,New Caledonia,4,3.709529664105813,3.9666703803315526,0
ZIKVAS EDIII,New Caledonia,5,3.9666703803315526,4.223811096557293,0
ZIKVAS EDIII,New Caledonia,6,4.223811096557293,4.480951812783033,13
ZIKVAS EDIII,New Caledonia,7,4.480951812783033,4.738092529008774,60
ZIKVAS EDIII,New Caledonia,8,4.738092529008774,4.995233245234514,124
ZIKVAS EDIII,New Caledonia,9,4.995233245234514,5.252373961460254,131
ZIKVAS EDIII,New Caledonia,10,5.252373961460254,5.509514677685994,92
ZIKVAS EDIII,New Caledonia,11,5.509514677685994,5.766655393911734,52
ZIKVAS EDIII,New Caledonia,12,5.766655393911734,6.023796110137475,46
ZIKVAS EDIII,New Caledonia,13,6.023796110137475,6.280936826363215,24
ZIKVAS EDIII,New Caledonia,14,6.280936826363215,6.5380775425889555,14
ZIKVAS EDIII,New Caledonia,15,6.5380775425889555,6.795218258814696,8
ZIKVAS EDIII,New Caledonia,16,6.795218258814696,7.052358975040436,12
ZIKVAS EDIII,New Caledonia,17,7.052358975040436,7.3094996912661765,9
ZIKVAS EDIII,New Caledonia,18,7.3094996912661765,7.566640407491916,4
ZIKVAS EDIII,New Caledonia,19,7.566640407491916,7.823781123717657,3
ZIKVAS EDIII,New Caledonia,20,7.823781123717657,8.080921839943397,4
ZIKVAS EDIII,New Caledonia,21,8.080921839943397,8.338062556169138,3
ZIKVAS EDIII,New Caledonia,22,8.338062556169138,8.595203272394876,1
ZIKVAS EDIII,New Caledonia,23,8.595203272394876,8.852343988620618,0
ZIKVAS EDIII,New Caledonia,24,8.852343988620618,9.10948470484636,0
ZIKVAS EDIII,New Caledonia,25,9.10948470484636,9.366625421072097,0
ZIKVAS EDIII,New Caledonia,26,9.366625421072097,9.623766137297839,0
ZIKVAS EDIII,New Caledonia,27,9.623766137297839,9.880906853523578,0
ZIKVAS EDIII,New Caledonia,28,9.880906853523578,10.138047569749318,0
ZIKVAS EDIII,New Caledonia,29,10.138047569749318,10.39518828597506,0
ZIKVAS EDIII,New Caledonia,30,10.39518828597506,10.6523290022008,0
ZIKVAS EDIII,Peru,1,2.938107515428592,3.195248231654332,0
ZIKVAS EDIII,Peru,2,3.195248231654332,3.4523889478800722,0
ZIKVAS EDIII,Peru,3,3.4523889478800722,3.709529664105813,4
ZIKVAS EDIII,Peru,4,3.709529664105813,3.9666703803315526,34
ZIKVAS EDIII,Peru,5,3.9666703803315526,4.223811096557293,82
ZIKVAS EDIII,Peru,6,4.223811096557293,4.480951812783033,151
ZIKVAS EDIII,Peru,7,4.480951812783033,4.738092529008774,153
ZIKVAS EDIII,Peru,8,4.738092529008774,4.995233245234514,134
ZIKVAS EDIII,Peru,9,4.995233245234514,5.252373961460254,104
ZIKVAS EDIII,Peru,10,5.252373961460254,5.509514677685994,65
ZIKVAS EDIII,Peru,11,5.509514677685994,5.766655393911734,43
ZIKVAS EDIII,Peru,12,5.766655393911734,6.023796110137475,23
ZIKVAS EDIII,Peru,13,6.023796110137475,6.280936826363215,19
ZIKVAS EDIII,Peru,14,6.280936826363215,6.5380775425889555,20
ZIKVAS EDIII,Peru,15,6.5380775425889555,6.795218258814696,13
ZIKVAS EDIII,Peru,16,6.795218258814696,7.052358975040436,7
ZIKVAS EDIII,Peru,17,7.052358975040436,7.3094996912661765,9
ZIKVAS EDIII,Peru,18,7.3094996912661765,7.566640407491916,9
ZIKVAS EDIII,Peru,19,7.566640407491916,7.823781123717657,3
ZIKVAS EDIII,Peru,20,7.823781123717657,8.080921839943397,2
ZIKVAS EDIII,Peru,21,8.080921839943397,8.338062556169138,0
ZIKVAS EDIII,Peru,22,8.338062556169138,8.595203272394876,1
ZIKVAS EDIII,Peru,23,8.595203272394876,8.852343988620618,2
ZIKVAS EDIII,Peru,24,8.852343988620618,9.10948470484636,2
ZIKVAS EDIII,Peru,25,9.10948470484636,9.366625421072097,0
ZIKVAS EDIII,Peru,26,9.366625421072097,9.623766137297839,0
ZIKVAS EDIII,Peru,27,9.623766137297839,9.880906853523578,0
ZIKVAS EDIII,Peru,28,9.880906853523578,10.138047569749318,0
ZIKVAS EDIII,Peru,29,10.138047569749318,10.39518828597506,0
ZIKVAS EDIII,Peru,30,10.39518828597506,10.6523290022008,0
ZIKVAS EDIII,Senegal,1,2.938107515428592,3.195248231654332,0
ZIKVAS EDIII,Senegal,2,3.195248231654332,3.4523889478800722,0
ZIKVAS EDIII,Senegal,3,3.4523889478800722,3.709529664105813,4
ZIKVAS EDIII,Senegal,4,3.709529664105813,3.9666703803315526,12
ZIKVAS EDIII,Senegal,5,3.9666703803315526,4.223811096557293,16
ZIKVAS EDIII,Senegal,6,4.223811096557293,4.480951812783033,15
ZIKVAS EDIII,Senegal,7,4.480951812783033,4.738092529008774,8
ZIKVAS EDIII,Senegal,8,4.738092529008774,4.995233245234514,6
ZIKVAS EDIII,Senegal,9,4.995233245234514,5.252373961460254,8
ZIKVAS EDIII,Senegal,10,5.252373961460254,5.509514677685994,20
ZIKVAS EDIII,Senegal,11,5.509514677685994,5.766655393911734,72
ZIKVAS EDIII,Senegal,12,5.766655393911734,6.023796110137475,182
ZIKVAS EDIII,Senegal,13,6.023796110137475,6.280936826363215,345
ZIKVAS EDIII,Senegal,14,6.280936826363215,6.5380775425889555,283
ZIKVAS EDIII,Senegal,15,6.5380775425889555,6.795218258814696,84
ZIKVAS EDIII,Senegal,16,6.795218258814696,7.052358975040436,73
ZIKVAS EDIII,Senegal,17,7.052358975040436,7.3094996912661765,36
ZIKVAS EDIII,Senegal,18,7.3094996912661765,7.566640407491916,25
ZIKVAS EDIII,Senegal,19,7.566640407491916,7.823781123717657,5
ZIKVAS EDIII,Senegal,20,7.823781123717657,8.080921839943397,7
ZIKVAS EDIII,Senegal,21,8.080921839943397,8.338062556169138,3
ZIKVAS EDIII,Senegal,22,8.338062556169138,8.595203272394876,6
ZIKVAS EDIII,Senegal,23,8.595203272394876,8.852343988620618,6
ZIKVAS EDIII,Senegal,24,8.852343988620618,9.10948470484636,1
ZIKVAS EDIII,Senegal,25,9.10948470484636,9.366625421072097,1
ZIKVAS EDIII,Senegal,26,9.366625421072097,9.623766137297839,1
ZIKVAS EDIII,Senegal,27,9.623766137297839,9.880906853523578,0
ZIKVAS EDIII,Senegal,28,9.880906853523578,10.138047569749318,0
ZIKVAS EDIII,Senegal,29,10.138047569749318,10.39518828597506,0
ZIKVAS EDIII,Senegal,30,10.39518828597506,10.6523290022008,0
ZIKVSU NS1,French Guiana,1,2.938107515428592,3.195248231654332,0
ZIKVSU NS1,French Guiana,2,3.195248231654332,3.4523889478800722,4
ZIKVSU NS1,French Guiana,3,3.4523889478800722,3.709529664105813,6
ZIKVSU NS1,French Guiana,4,3.709529664105813,3.9666703803315526,20
ZIKVSU NS1,French Guiana,5,3.9666703803315526,4.223811096557293,36
ZIKVSU NS1,French Guiana,6,4.223811096557293,4.480951812783033,41
ZIKVSU NS1,French Guiana,7,4.480951812783033,4.738092529008774,60
ZIKVSU NS1,French Guiana,8,4.738092529008774,4.995233245234514,46
ZIKVSU NS1,French Guiana,9,4.995233245234514,5.252373961460254,55
ZIKVSU NS1,French Guiana,10,5.252373961460254,5.509514677685994,43
ZIKVSU NS1,French Guiana,11,5.509514677685994,5.766655393911734,49
ZIKVSU NS1,French Guiana,12,5.766655393911734,6.023796110137475,42
ZIKVSU NS1,French Guiana,13,6.023796110137475,6.280936826363215,35
ZIKVSU NS1,French Guiana,14,6.280936826363215,6.5380775425889555,44
ZIKVSU NS1,French Guiana,15,6.5380775425889555,6.795218258814696,26
ZIKVSU NS1,French Guiana,16,6.795218258814696,7.052358975040436,33
ZIKVSU NS1,French Guiana,17,7.052358975040436,7.3094996912661765,43
ZIKVSU NS1,French Guiana,18,7.3094996912661765,7.566640407491916,34
ZIKVSU NS1,French Guiana,19,7.566640407491916,7.823781123717657,39
ZIKVSU NS1,French Guiana,20,7.823781123717657,8.080921839943397,37
ZIKVSU NS1,French Guiana,21,8.080921839943397,8.338062556169138,36
ZIKVSU NS1,French Guiana,22,8.338062556169138,8.595203272394876,24
ZIKVSU NS1,French Guiana,23,8.595203272394876,8.852343988620618,20
ZIKVSU NS1,French Guiana,24,8.852343988620618,9.10948470484636,13
ZIKVSU NS1,French Guiana,25,9.10948470484636,9.366625421072097,1
ZIKVSU NS1,French Guiana,26,9.366625421072097,9.623766137297839,0
ZIKVSU NS1,French Guiana,27,9.623766137297839,9.880906853523578,0
ZIKVSU NS1,French Guiana,28,9.880906853523578,10.138047569749318,0
ZIKVSU NS1,French Guiana,29,10.138047569749318,10.39518828597506,0
ZIKVSU NS1,French Guiana,30,10.39518828597506,10.6523290022008,0
ZIKVSU NS1,New Caledonia,1,2.938107515428592,3.195248231654332,0
ZIKVSU NS1,New Caledonia,2,3.195248231654332,3.4523889478800722,1
ZIKVSU NS1,New Caledonia,3,3.4523889478800722,3.709529664105813,1
ZIKVSU NS1,New Caledonia,4,3.709529664105813,3.9666703803315526,5
ZIKVSU NS1,New Caledonia,5,3.9666703803315526,4.223811096557293,15
ZIKVSU NS1,New Caledonia,6,4.223811096557293,4.480951812783033,30
ZIKVSU NS1,New Caledonia,7,4.480951812783033,4.738092529008774,57
ZIKVSU NS1,New Caledonia,8,4.738092529008774,4.995233245234514,81
ZIKVSU NS1,New Caledonia,9,4.995233245234514,5.252373961460254,75
ZIKVSU NS1,New Caledonia,10,5.252373961460254,5.509514677685994,83
ZIKVSU NS1,New Caledonia,11,5.509514677685994,5.766655393911734,53
ZIKVSU NS1,New Caledonia,12,5.766655393911734,6.023796110137475,33
ZIKVSU NS1,New Caledonia,13,6.023796110137475,6.280936826363215,17
ZIKVSU NS1,New Caledonia,14,6.280936826363215,6.5380775425889555,3
ZIKVSU NS1,New Caledonia,15,6.5380775425889555,6.795218258814696,0
ZIKVSU NS1,New Caledonia,16,6.795218258814696,7.052358975040436,0
ZIKVSU NS1,New Caledonia,17,7.052358975040436,7.3094996912661765,0
ZIKVSU NS1,New Caledonia,18,7.3094996912661765,7.566640407491916,10
ZIKVSU NS1,New Caledonia,19,7.566640407491916,7.823781123717657,18
ZIKVSU NS1,New Caledonia,20,7.823781123717657,8.080921839943397,23
ZIKVSU NS1,New Caledonia,21,8.080921839943397,8.338062556169138,23
ZIKVSU NS1,New Caledonia,22,8.338062556169138,8.595203272394876,26
ZIKVSU NS1,New Caledonia,23,8.595203272394876,8.852343988620618,17
ZIKVSU NS1,New Caledonia,24,8.852343988620618,9.10948470484636,19
ZIKVSU NS1,New Caledonia,25,9.10948470484636,9.366625421072097,9
ZIKVSU NS1,New Caledonia,26,9.366625421072097,9.623766137297839,1
ZIKVSU NS1,New Caledonia,27,9.623766137297839,9.880906853523578,0
ZIKVSU NS1,New Caledonia,28,9.880906853523578,10.138047569749318,0
ZIKVSU NS1,New Caledonia,29,10.138047569749318,10.39518828597506,0
ZIKVSU NS1,New Caledonia,30,10.39518828597506,10.6523290022008,0
ZIKVSU NS1,Peru,1,2.938107515428592,3.195248231654332,4
ZIKVSU NS1,Peru,2,3.195248231654332,3.4523889478800722,34
ZIKVSU NS1,Peru,3,3.4523889478800722,3.709529664105813,60
ZIKVSU NS1,Peru,4,3.709529664105813,3.9666703803315526,72
ZIKVSU NS1,Peru,5,3.9666703803315526,4.223811096557293,55
ZIKVSU NS1,Peru,6,4.223811096557293,4.480951812783033,58
ZIKVSU NS1,Peru,7,4.480951812783033,4.738092529008774,47
ZIKVSU NS1,Peru,8,4.738092529008774,4.995233245234514,53
ZIKVSU NS1,Peru,9,4.995233245234514,5.252373961460254,43
ZIKVSU NS1,Peru,10,5.252373961460254,5.509514677685994,45
ZIKVSU NS1,Peru,11,5.509514677685994,5.766655393911734,31
ZIKVSU NS1,Peru,12,5.766655393911734,6.023796110137475,31
ZIKVSU NS1,Peru,13,6.023796110137475,6.280936826363215,20
ZIKVSU NS1,Peru,14,6.280936826363215,6.5380775425889555,10
ZIKVSU NS1,Peru,15,6.5380775425889555,6.795218258814696,9
ZIKVSU NS1,Peru,16,6.795218258814696,7.052358975040436,6
ZIKVSU NS1,Peru,17,7.052358975040436,7.3094996912661765,4
ZIKVSU NS1,Peru,18,7.3094996912661765,7.566640407491916,35
ZIKVSU NS1,Peru,19,7.566640407491916,7.823781123717657,33
ZIKVSU NS1,Peru,20,7.823781123717657,8.080921839943397,66
ZIKVSU NS1,Peru,21,8.080921839943397,8.338062556169138,45
ZIKVSU NS1,Peru,22,8.338062556169138,8.595203272394876,37
ZIKVSU NS1,Peru,23,8.595203272394876,8.852343988620618,34
ZIKVSU NS1,Peru,24,8.852343988620618,9.10948470484636,30
ZIKVSU NS1,Peru,25,9.10948470484636,9.366625421072097,13
ZIKVSU NS1,Peru,26,9.366625421072097,9.623766137297839,5
ZIKVSU NS1,Peru,27,9.623766137297839,9.880906853523578,0
ZIKVSU NS1,Peru,28,9.880906853523578,10.138047569749318,0
ZIKVSU NS1,Peru,29,10.138047569749318,10.39518828597506,0
ZIKVSU NS1,Peru,30,10.39518828597506,10.6523290022008,0
ZIKVSU NS1,Senegal,1,2.938107515428592,3.195248231654332,24
ZIKVSU NS1,Senegal,2,3.195248231654332,3.4523889478800722,49
ZIKVSU NS1,Senegal,3,3.4523889478800722,3.709529664105813,11
ZIKVSU NS1,Senegal,4,3.709529664105813,3.9666703803315526,2
