antigen,site,age_cat,male,ymin,lower,middle,upper,ymax,n
DENV2 EDIII,Peru,10-17,Male,4.193940066878592,5.214500080932394,5.515356522341668,6.150126477737385,8.153932657004543,73
DENV2 EDIII,Peru,18-39,Female,3.9911323043555966,5.293028294944166,5.712846300608794,6.312399556476422,8.37630909179919,219
DENV2 EDIII,Peru,18-39,Male,4.331629469651778,5.41019052121532,5.847068141350064,6.276309251509734,8.607886255649268,76
DENV2 EDIII,Peru,40-59,Female,4.510055922837114,5.57097209528135,6.012420829007039,6.9010467133629945,9.259604769223836,84
DENV2 EDIII,Peru,40-59,Male,4.5667102262212795,5.528686571743174,5.943855870854892,6.375394629857637,9.37720293208136,58
DENV2 EDIII,Peru,5-9,Female,4.380607693757792,5.414975883861828,5.78845571921313,6.315822037262787,7.913802877689014,63
DENV2 EDIII,Peru,5-9,Male,3.434408806706848,5.128142794597036,5.6283158915915354,6.255182206660704,8.703054904424228,63
DENV2 EDIII,Peru,<5,Female,4.70169331726927,5.523602477024415,5.854570348854699,6.71689961850278,8.368700490756185,23
DENV2 EDIII,Peru,<5,Male,4.43191245514673,5.314079141184757,5.899489449703477,6.324831635620233,9.545154180705312,33
DENV2 EDIII,Peru,>59,Female,4.397897388023925,5.575724493684185,5.969893349035299,6.294367211494184,8.023646999172556,50
DENV2 EDIII,Peru,>59,Male,4.459960642549194,5.481875530086665,5.957543382340564,6.830071938181934,8.987044099816083,58
DENV2 EDIII,Senegal,10-17,Female,4.87973848291044,5.84619705464526,6.04906540930438,6.429174779418034,7.915502497043959,154
DENV2 EDIII,Senegal,10-17,Male,5.101454232196853,5.860512998890647,6.127473515458056,6.543996595289139,8.181029047541587,126
DENV2 EDIII,Senegal,18-39,Female,5.196609169080527,5.876059728807858,6.164008167526713,6.442045712387529,8.684729668996097,234
DENV2 EDIII,Senegal,18-39,Male,5.358756702322382,6.004690648661932,6.314623924688188,6.830051422691981,8.59382467071166,125
DENV2 EDIII,Senegal,40-59,Female,5.416743959972732,5.898994961701016,6.108712957079247,6.572391947682799,9.64046142251915,124
DENV2 EDIII,Senegal,40-59,Male,5.489998003664618,6.051935174200847,6.232900424909332,6.633397101507485,7.910161930083931,90
DENV2 EDIII,Senegal,5-9,Female,4.497726891043966,5.744086377908239,5.999401311020365,6.261695978903826,8.295729823903448,104
DENV2 EDIII,Senegal,5-9,Male,4.962483201097708,5.77544377974994,6.03404303541981,6.402035920572031,7.992313468375383,109
DENV2 EDIII,Senegal,<5,Female,4.250759634964827,5.154418823854708,5.6443058391859084,6.166339989485687,7.701530554945079,44
DENV2 EDIII,Senegal,<5,Male,4.313480405840427,5.1119819629276755,5.480607471816736,5.964577213120178,7.148417586127133,34
DENV2 EDIII,Senegal,>59,Female,5.235013846494749,6.002642577264396,6.1963994263389734,6.644979115959256,8.048523864836291,42
DENV2 EDIII,Senegal,>59,Male,4.851554499805262,5.781973755888997,6.0509188180798485,6.352065824924264,9.673608077794542,33
DENV2 NS1,French Guiana,18-39,Female,3.8704692140533754,7.343404741559566,8.659918444528849,9.059462577261199,9.542089728882203,128
DENV2 NS1,French Guiana,18-39,Male,3.772674067186292,6.027440263949378,7.762387766695509,8.857691496077424,9.463428815215448,323
