antigen,site,age_cat,ymin,lower,middle,upper,ymax,n
DENV4 EDIII,Peru,18-39,3.985322708638985,5.175784109076239,5.5520078520887575,6.088627372876171,9.636652858484762,295
DENV4 EDIII,Peru,40-59,4.400260142958071,5.276643186217511,5.81317565557051,6.419299670437365,8.989353372136586,142
DENV4 EDIII,Peru,5-9,3.785629398838542,4.922249245240577,5.280080749977499,5.923958260305582,7.527010201705088,126
DENV4 EDIII,Peru,<5,4.008772950152752,4.756284706844886,5.4388835556413575,5.8933531636360375,8.886148347006461,56
DENV4 EDIII,Peru,>59,4.496488175052625,5.321687156151975,5.879231809591877,6.37013479806875,8.474347057004078,108
DENV4 EDIII,Senegal,10-17,5.129315062326963,5.9098246331338515,6.149667204561329,6.454087659653083,9.014901607306015,280
DENV4 EDIII,Senegal,18-39,4.946042728348248,5.972565519807471,6.230961080960842,6.553942156345655,9.49118363811152,359
DENV4 EDIII,Senegal,40-59,5.3069260644745375,6.123381567990626,6.352170665244671,6.695662269790974,9.635554889620137,214
DENV4 EDIII,Senegal,5-9,4.423338299145498,5.852671549310666,6.1034915773672305,6.471262561698331,9.851558642275354,213
DENV4 EDIII,Senegal,<5,3.7402414544390545,4.387303862337159,4.695723312792319,5.253509459525982,6.99427856592596,78
DENV4 EDIII,Senegal,>59,5.254061947813553,6.117341856509713,6.386542910438557,6.905607775877937,9.425531324395468,75
DENV4 NS1,French Guiana,18-39,3.683327532820941,5.439909220299876,7.17405231753352,8.41999191481004,9.31052043482464,451
DENV4 NS1,French Guiana,40-59,3.689625285760633,5.39366682907995,7.03215650660003,8.189901599475895,9.208425265734125,321
DENV4 NS1,French Guiana,>59,4.80887130480037,5.251030904579409,6.5180870017039325,8.213521597660165,9.200631043456127,15
DENV4 NS1,New Caledonia,18-39,3.94441281551334,4.891073045165174,5.9998620140291274,8.247138881064021,9.555625504778096,256
DENV4 NS1,New Caledonia,40-59,3.718754708408575,5.250510086652783,7.711990501665514,8.666382353297779,9.468408011853578,304
DENV4 NS1,New Caledonia,>59,4.460839868281198,5.904980087722834,7.700096423771782,8.714032471171059,9.21271746485212,40
DENV4 NS1,Peru,10-17,3.293295562006638,3.902182398948844,4.395269198377454,5.103772124701177,9.5397753119946,153
DENV4 NS1,Peru,18-39,3.433743674433595,4.52107553614279,6.321168941344685,8.470962767639683,9.840178794945022,295
DENV4 NS1,Peru,40-59,3.4104593848741875,4.856725215645708,6.416410835453574,8.699135557942725,9.742771060944204,142
DENV4 NS1,Peru,5-9,3.420447449952282,3.748207114243964,3.999331999993341,4.389701329299076,8.856408745841,126
DENV4 NS1,Peru,<5,3.3993940407544487,3.724704522461722,3.9575038654934866,4.293678734110053,9.256322901026126,56
DENV4 NS1,Peru,>59,3.9509251998768247,5.306301778551957,7.483486060562637,8.490023220245305,9.534693104814815,108
